Volume,Adj Close,,,,,,,,,,,,,,,CNY,"A,B"
2100,42.02,,,,,,,,,,,,,,,,
700,42.01,,,,,,,,,,,,,,,,
4200,42.09,,,,,,,,,,,,,,,,
5500,42,,,,,,,,,,,,,,,,
6200,42.12,,,,,,,,,,,,,,,,
4600,42.02,,,,,,,,,,,,,,,,
9800,42.05,,,,,,,,,,,,,,,,
2000,42.01,,,,,,,,,,,,,,,,
16400,41.96,,,,,,,,,,,,,,,,
2700,42,,,,,,,,,,,,,,,,
1200,41.99,,,,,,,,,,,,,,,,
2500,41.93,,,,,,,,,,,,,,,,
5600,41.94,,,,,,,,,,,,,,,,
8600,42.03,,,,,,,,,,,,,,,,
2600,42.09,,,,,,,,,,,,,,,,
9900,41.94,,,,,,,,,,,,,,,,
1200,42.07,,,,,,,,,,,,,,,,
9400,41.99,,,,,,,,,,,,,,,,
3700,42.01,,,,,,,,,,,,,,,,
14300,41.89,,,,,,,,,,,,,,,,
900,41.82,,,,,,,,,,,,,,,,
3000,41.8,,,,,,,,,,,,,,,,
19700,41.94,,,,,,,,,,,,,,,,
1700,41.83,,,,,,,,,,,,,,,,
2900,41.8,,,,,,,,,,,,,,,,
10800,41.99,,,,,,,,,,,,,,,,
8300,41.94,,,,,,,,,,,,,,,,
10700,41.8,,,,,,,,,,,,,,,,
7400,41.7,,,,,,,,,,,,,,,,
21300,41.76,,,,,,,,,,,,,,,,
0,41.73,,,,,,,,,,,,,,,,
800,41.73,,,,,,,,,,,,,,,,
400,41.72,,,,,,,,,,,,,,,,
100,41.67,,,,,,,,,,,,,,,,
9000,41.67,,,,,,,,,,,,,,,,
2800,41.59,,,,,,,,,,,,,,,,
3200,41.69,,,,,,,,,,,,,,,,
100,41.74,,,,,,,,,,,,,,,,
2200,41.71,,,,,,,,,,,,,,,,
700,41.52,,,,,,,,,,,,,,,,
5000,41.43,,,,,,,,,,,,,,,,
9600,41.5,,,,,,,,,,,,,,,,
3700,41.5,,,,,,,,,,,,,,,,
21800,41.4,,,,,,,,,,,,,,,,
3600,41.51,,,,,,,,,,,,,,,,
20800,41.59,,,,,,,,,,,,,,,,
3000,41.83,,,,,,,,,,,,,,,,
300,41.82,,,,,,,,,,,,,,,,
2500,41.74,,,,,,,,,,,,,,,,
300,41.83,,,,,,,,,,,,,,,,
18800,41.89,,,,,,,,,,,,,,,,
32900,41.65,,,,,,,,,,,,,,,,
5300,41.75,,,,,,,,,,,,,,,,
1900,41.72,,,,,,,,,,,,,,,,
7500,41.74,,,,,,,,,,,,,,,,
6400,41.71,,,,,,,,,,,,,,,,
1000,41.79,,,,,,,,,,,,,,,,
5100,41.71,,,,,,,,,,,,,,,,
5100,41.73,,,,,,,,,,,,,,,,
5000,41.67,,,,,,,,,,,,,,,,
7100,41.62,,,,,,,,,,,,,,,,
3400,41.6,,,,,,,,,,,,,,,,
2400,41.55,,,,,,,,,,,,,,,,
7000,41.6,,,,,,,,,,,,,,,,
2900,41.57,,,,,,,,,,,,,,,,
4500,41.54,,,,,,,,,,,,,,,,
6600,41.53,,,,,,,,,,,,,,,,
4800,41.52,,,,,,,,,,,,,,,,
11300,41.58,,,,,,,,,,,,,,,,
1800,41.59,,,,,,,,,,,,,,,,
9000,41.58,,,,,,,,,,,,,,,,
6900,41.47,,,,,,,,,,,,,,,,
6400,41.47,,,,,,,,,,,,,,,,
7400,41.53,,,,,,,,,,,,,,,,
1600,41.43,,,,,,,,,,,,,,,,
2200,41.45,,,,,,,,,,,,,,,,
5600,41.43,,,,,,,,,,,,,,,,
7000,41.34,,,,,,,,,,,,,,,,
3000,41.33,,,,,,,,,,,,,,,,
4500,41.33,,,,,,,,,,,,,,,,
8300,41.41,,,,,,,,,,,,,,,,
6000,41.33,,,,,,,,,,,,,,,,
2300,41.38,,,,,,,,,,,,,,,,
4100,41.37,,,,,,,,,,,,,,,,
12500,41.42,,,,,,,,,,,,,,,,
3400,41.31,,,,,,,,,,,,,,,,
2300,41.4,,,,,,,,,,,,,,,,
2400,41.39,,,,,,,,,,,,,,,,
5300,41.34,,,,,,,,,,,,,,,,
2600,41.22,,,,,,,,,,,,,,,,
9900,41.3,,,,,,,,,,,,,,,,
5700,41.25,,,,,,,,,,,,,,,,
4400,41.32,,,,,,,,,,,,,,,,
3100,41.37,,,,,,,,,,,,,,,,
6300,41.32,,,,,,,,,,,,,,,,
4500,41.34,,,,,,,,,,,,,,,,
15200,41.3,,,,,,,,,,,,,,,,
18100,41.34,,,,,,,,,,,,,,,,
4900,41.5,,,,,,,,,,,,,,,,
6500,41.55,,,,,,,,,,,,,,,,
20700,41.54,,,,,,,,,,,,,,,,
7000,41.52,,,,,,,,,,,,,,,,
18100,41.49,,,,,,,,,,,,,,,,
